[2024-01-05T11:21:06.657+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T11:20:45.850362+00:00 [queued]>
[2024-01-05T11:21:06.673+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T11:20:45.850362+00:00 [queued]>
[2024-01-05T11:21:06.673+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-01-05T11:21:06.699+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): load_data_order_products__prior> on 2024-01-05 11:20:45.850362+00:00
[2024-01-05T11:21:06.706+0000] {standard_task_runner.py:60} INFO - Started process 464 to run task
[2024-01-05T11:21:06.711+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'load_data_parquet', 'load_data_order_products__prior', 'manual__2024-01-05T11:20:45.850362+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/load_data_parquet.py', '--cfg-path', '/tmp/tmp2djpnfm3']
[2024-01-05T11:21:06.716+0000] {standard_task_runner.py:88} INFO - Job 29: Subtask load_data_order_products__prior
[2024-01-05T11:21:06.803+0000] {task_command.py:423} INFO - Running <TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T11:20:45.850362+00:00 [running]> on host edef6e683abd
[2024-01-05T11:21:06.952+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='load_data_parquet' AIRFLOW_CTX_TASK_ID='load_data_order_products__prior' AIRFLOW_CTX_EXECUTION_DATE='2024-01-05T11:20:45.850362+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-01-05T11:20:45.850362+00:00'
[2024-01-05T11:21:06.977+0000] {logging_mixin.py:188} INFO - starting:order_products__prior
[2024-01-05T11:21:07.095+0000] {logging_mixin.py:188} INFO - loading chunk:0
[2024-01-05T11:21:07.927+0000] {logging_mixin.py:188} INFO - loading chunk:1
[2024-01-05T11:21:08.532+0000] {logging_mixin.py:188} INFO - loading chunk:2
[2024-01-05T11:21:09.320+0000] {logging_mixin.py:188} INFO - loading chunk:3
[2024-01-05T11:21:11.938+0000] {logging_mixin.py:188} INFO - loading chunk:4
[2024-01-05T11:21:13.920+0000] {logging_mixin.py:188} INFO - loading chunk:5
[2024-01-05T11:21:19.906+0000] {logging_mixin.py:188} INFO - loading chunk:6
[2024-01-05T11:21:34.944+0000] {logging_mixin.py:188} INFO - loading chunk:7
[2024-01-05T11:21:35.386+0000] {logging_mixin.py:188} INFO - loading chunk:8
[2024-01-05T11:21:35.803+0000] {logging_mixin.py:188} INFO - loading chunk:9
[2024-01-05T11:21:36.253+0000] {logging_mixin.py:188} INFO - loading chunk:10
[2024-01-05T11:21:36.776+0000] {logging_mixin.py:188} INFO - loading chunk:11
[2024-01-05T11:21:37.194+0000] {logging_mixin.py:188} INFO - loading chunk:12
[2024-01-05T11:21:37.524+0000] {logging_mixin.py:188} INFO - loading chunk:13
[2024-01-05T11:21:37.936+0000] {logging_mixin.py:188} INFO - loading chunk:14
[2024-01-05T11:21:38.319+0000] {logging_mixin.py:188} INFO - loading chunk:15
[2024-01-05T11:21:38.854+0000] {logging_mixin.py:188} INFO - loading chunk:16
[2024-01-05T11:21:39.260+0000] {logging_mixin.py:188} INFO - loading chunk:17
[2024-01-05T11:21:39.640+0000] {logging_mixin.py:188} INFO - loading chunk:18
[2024-01-05T11:21:40.043+0000] {logging_mixin.py:188} INFO - loading chunk:19
[2024-01-05T11:21:40.418+0000] {logging_mixin.py:188} INFO - loading chunk:20
[2024-01-05T11:21:40.998+0000] {logging_mixin.py:188} INFO - loading chunk:21
[2024-01-05T11:21:41.873+0000] {logging_mixin.py:188} INFO - loading chunk:22
[2024-01-05T11:21:42.358+0000] {logging_mixin.py:188} INFO - loading chunk:23
[2024-01-05T11:21:42.776+0000] {logging_mixin.py:188} INFO - loading chunk:24
[2024-01-05T11:21:43.401+0000] {logging_mixin.py:188} INFO - loading chunk:25
[2024-01-05T11:21:43.993+0000] {logging_mixin.py:188} INFO - loading chunk:26
[2024-01-05T11:21:44.536+0000] {logging_mixin.py:188} INFO - loading chunk:27
